"question","options","answer"
"根据《福州大学授予普通全日制学生学士学位工作细则》，学校对符合下列哪些条件的学生可授予学士学位？","拥护中国共产党的领导，拥护社会主义制度 | 遵守宪法和法律，遵守学术道德和学术规范 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，经审核准予毕业的学生 | 在校期间至少获得一次奖学金","拥护中国共产党的领导，拥护社会主义制度 | 遵守宪法和法律，遵守学术道德和学术规范 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，经审核准予毕业的学生"
"学位申请人、学位获得者在攻读学位过程中有下列哪些情形之一的，不授予学位或者撤销学位（）。","学位论文被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得入学资格 | 以其他非法手段取得入学资格、毕业证书 | 一次考试不及格但已重修通过","学位论文被认定为存在代写、剽窃、伪造等学术不端行为 | 盗用、冒用他人身份，顶替他人取得入学资格 | 以其他非法手段取得入学资格、毕业证书"
"单项奖学金包括（）。","学习进步奖 | 精神文明建设奖 | 学习优秀奖 | 文体活动奖","学习进步奖 | 精神文明建设奖"
"优秀学生综合奖学金的评定等级包括（）。","一等奖 | 二等奖 | 三等奖 | 特等奖","一等奖 | 二等奖 | 三等奖"
"本科生创业学籍管理，创业可申请免修的课程类型有（）","毕业实习 | 生产实习 | 专业选修课 | 思想政治理论必修课","毕业实习 | 生产实习 | 专业选修课"
"休学创业本科生相关规定，说法正确的是（）","休学以一年为单位 | 修业年限可延长 2‑4 年 | 创业成果可以申请部分实践课程免修 | 创业可以直接申请毕业","休学以一年为单位 | 修业年限可延长 2‑4 年 | 创业成果可以申请部分实践课程免修"
"已经结业的学生，在最长修业年限内达到毕业要求，可以换发毕业证书。","对 | 错","对"
"学生宿舍内可以使用电吹风，但用后应立即断电拔插。","对 | 错","对"
"根据《普通高等学校学生管理规定》，学生体育成绩评定要突出过程管理，可以根据考勤、课内教学、课外锻炼活动和体质健康等情况综合评定。","对 | 错","对"
"学生参加创新创业、社会实践等活动以及发表论文、获得专利授权等与专业学习、学业要求相关的经历、成果，不可以折算为学分。","对 | 错","错"
"学生在校内成立学生团体，无需经过学校批准，可自行开展活动。","对 | 错","错"
"学生对取消入学资格、取消学籍有异议的，不可以提出申诉。","对 | 错","错"
"学生在实验过程中，如发现仪器设备发生故障或损坏，应及时报告指导教师或实验技术人员处理。","对 | 错","对"
"在学生宿舍内饲养宠物，经劝阻无效者，给予警告处分。","对 | 错","对"
"学历证书和学位证书遗失或者损坏，经本人申请，学校核实后出具相应的证明书，证明书与原证书具有同等效力。","对 | 错","对"
"学生重修已经及格的课程，不可以重新申请，无论任何情况。","对 | 错","错"
"缓考的成绩按照正常考核成绩记载。","对 | 错","对"
"2.学生已修读的必修课中，课程考核不及格的学分数累计达()学分，或者一学期已修读的必修课中，课程考核不及格的学分数累计超过()学分，由学院劝其退学","30;30 | 15;15 | 30;15 | 15;10","30;15"
"福州大学接收大一学生转专业人数原则上不超过该专业入学时实际招生数的()","10% | 20% | 5% | 3%","20%"
"文化科技创新创业奖学金中，实用新型专利的奖励积分为()分/项。","5 | 10 | 15 | 20","10"
"福州大学本科生在校最长修业年限（含休学和保留学籍），四年制本科学生为（）年。","四年 | 五年 | 六年 | 七年","六年"
"毕业时，学生体质健康测试成绩达不到()分者按结业处理（因病或残疾学生，凭医院证明向学校提出申请并经审核通过后可准予毕业）。","70 | 60 | 55 | 50","50"
"学生申诉处理委员会对学生提出的申诉进行复查，并在接到书面申诉之日起 () 日内作出复查结论并告知申诉人。情况复杂不能在规定限期内作出结论的，经学校负责人批准，可延长15日。。","15 | 14 | 10 | 7","15"
"休学创业学生的修业年限在原有学制基础上可申请延长2至（）年，休学时间计入修业年限。","6 | 5 | 4 | 3","4"
"有下列哪些情形学校可予以退学处理（）。","学业成绩未达到学校要求，修业年限内未完成学业 | 未经批准连续两周未参加学校规定教学活动 | 休学期满未办理复学或复学复查不合格 | 只是某一门课程挂科","学业成绩未达到学校要求，修业年限内未完成学业 | 未经批准连续两周未参加学校规定教学活动 | 休学期满未办理复学或复学复查不合格"
"学生可以申请保留入学资格的情形（）。","参军入伍 | 疾病需要休养 | 已经入学上课一学期 | 考试挂科太多","参军入伍 | 疾病需要休养"
"福州大学课程考核成绩记录方式包括()","百分制（整数） | 四级制（A、B、C、D） | 五级制（优秀、良好、中等、及格、不及格） | 二级制（合格、不合格）","四级制（A、B、C、D） | 五级制（优秀、良好、中等、及格、不及格） | 二级制（合格、不合格） | 百分制（整数）"
"作为一名优秀的福大学子，我们应当()","热爱祖国，服务人民 | 诚实守信，严于律己 | 志存高远，坚定信念 | 我行我素，独来独往","志存高远，坚定信念 | 热爱祖国，服务人民 | 诚实守信，严于律己"
"根据《福州大学学生安全管理规定》，以下哪些行为是禁止的？","严格遵守实验室安全操作规程 | 学生在校园内外醉酒、酗酒 | 未经同意擅自组织集体外出活动 | 自觉遵守文娱体育场馆、教室、图书馆等公共场所的有关规定","严格遵守实验室安全操作规程 | 学生在校园内外醉酒、酗酒 | 未经同意擅自组织集体外出活动"
"关于本科学生毕业、结业、肄业，以下说法正确的有()。","在规定修业年限内修完规定内容，成绩合格，准予毕业 | 修完规定内容但未达到毕业要求，可准予结业 | 已在校学习满一学年以上的退学学生，发给肄业证书 | 受开除学籍处分的学生，学校只发给写实性学习证明","在规定修业年限内修完规定内容，成绩合格，准予毕业 | 修完规定内容但未达到毕业要求，可准予结业 | 已在校学习满一学年以上的退学学生，发给肄业证书 | 受开除学籍处分的学生，学校只发给写实性学习证明"
"学科竞赛A+类赛事包括（）。","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛"
"劳育素质测评（E），发展性测评（E2）中规定非计算机专业学生，获全国计算机等级考试（）等级证书，分别加4、2分。","四级 | 三级 | 二级 | 合格","四级 | 三级"
"校内勤工助学岗位设置应能保证学生参与勤工助学的需要。岗位设置主要以（）等为主，以创新创业等项目型岗位为辅。","校内教学助理 | 校内科研助理 | 校内行政管理助理 | 学校公共服务","校内教学助理 | 校内科研助理 | 校内行政管理助理 | 学校公共服务"
"申请国家奖学金的学生，除基本条件外还应满足（）。","学习成绩排名与综合测评成绩排名均位于前10%（含10%） | 参评学年没有不及格科目 | 在参评学年获得校级及以上综合类荣誉称号至少1次 | 家庭经济困难","学习成绩排名与综合测评成绩排名均位于前10%（含10%） | 参评学年没有不及格科目 | 在参评学年获得校级及以上综合类荣誉称号至少1次"
"下列属于A+类赛事的有（）。","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛 | 全国大学生数学建模竞赛","中国国际大学生创新大赛 | “挑战杯”全国大学生课外学术科技作品竞赛 | “挑战杯”中国大学生创业计划竞赛"
"学生转专业被录取公示结束后，不可以放弃转专业资格。","对 | 错","对"
"福州大学校徽采用单色——红色。","对 | 错","对"
"本科学生因学业成绩未达到学校要求而退学的，不能发给任何学习证明。","对 | 错","错"
"学生举行大型集会、游行、示威等活动，只需向学校申请批准即可，无需按法律程序进行。","对 | 错","错"
"学生应当遵守国家和学校关于网络使用的有关规定，不得登录非法网站和传播非法文字、音频、视频资料等。","对 | 错","对"
"学生宿舍内可以饲养小型宠物，如仓鼠、金鱼等。","对 | 错","错"
"普通类专业和艺术类专业之间可以申请互转专业。","对 | 错","错"
"一学期累计旷课达()学时者，给予警告处分。","20 | 30 | 40 | 10","10"
"学生休学累计休学时间不得超过（）年。","1 | 2 | 3 | 4","2"
